id,question,answer
6.6,What are the different ways to pass a pointer to a function?,"There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data."
6.7,What is a function pointer?,The address of the location in memory where the function code resides.
7.1,What is a linked list?,A collection of elements that can be allocated dynamically.
7.2,What is the main advantage of linked lists over arrays?,The linked lists can be of variable length.
7.3,What is the main advantage of arrays over linked lists?,"The elements in an array can be accessed directlyas opposed to linked lists, which require iterative traversal."
7.4,How are linked lists passed as arguments to a function?,By reference.
7.5,What is the difference between a circular linked list and a basic linked list?,The last element in a circular linked list points to the head of the list.
7.6,What is the main advantage of a doubly-linked list over a basic linked list?,"All the deletion and insertion operations can be performed in constant time, including those operations performed before a given location in the list or at the end of the list."
7.7,What is the main disadvantage of a doubly-linked list over a basic linked list?,Extra space required to store the back pointers.
8.1,What is a stack?,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out"
8.2,What are the two main functions defined by a stack?,push and pop
8.3,How can you implement a stack with an array?,"Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array."
8.4,How can you implement a stack with a list?,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list."
8.5,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?","Link-based, because they are dynamicno size constraints"
8.6,How are infix expressions evaluated by computers?,"First, they are converted into postfix form, followed by an evaluation of the postfix expression."
8.7,What operations would you need to perform to find a given element on a stack?,"Pop all the elements and store them on another stack until the element is found, then push back all the elements on the original stack."
9.1,What is a queue?,"A data structure that can store elements, which has the property that the last item added will be the last to be removedor first-in-first-out."
9.2,What are the two main functions defined by a queue?,enqueue and dequeue
9.3,How can you implement a queue with an array?,"Use a circular array. Keep the rear of the queue toward the end of the array, and the front toward the beginning, and allow the rear pointer to wrap around."
9.4,How can you implement a queue with a list?,"Keep the rear of the queue pointing to the tail of the linked list, so the enqueue operation is done at the end of the list, and keep the front of the queue pointing to the head of the linked list, so the dequeue operation is done at the beginning of the list."
9.5,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred for a queue, and why?","Link-based, because they are dynamicno size constraints"
9.6,What is the stack operation corresponding to the enqueue operation in queues?,push
9.7,"What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?",queue
10.1,What is a tree?,"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree."
10.2,What is the height of a tree?,The length of the longest path from the root to any of its leaves.
10.3,What is a leaf?,A node that has no children.
10.4,What is a binary tree?,A tree for which the maximum number of children per node is two.
10.5,What is a binary search tree?,A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
10.6,What is the inorder traversal of a binary tree?,"Traverse the left subtree, then the root, then the right subtree."
10.7,How many comparisons does it take to find an element in a binary search tree?,The height of the treeor log of the number of elements in the tree.
11.1,What are the elements typically included in a class definition?,Function members and data members.
11.2,What are the access-specifiers that can be used in a C plus plus class definition?,Private and public.
11.3,How are objects initialized when they are created?,By using constructors.
11.4,What is a function signature?,"The name of the function and the list of parameters, including their types."
11.5,What is a recursive function?,A function that calls itself.
11.6,What is the alternative way to solve a problem that could be solved through recursive functions?,Through iteration.
11.7,What is the difference between an array that is declared as static and one that is not?,The static arrays are intialized only once when the function is called.
11.8,What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char []?,The char [] will automatically add a null 0 character at the end of the string.
11.9,Briefly describe the divide-and-conquer paradigm.,"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem."
11.10,Briefly describe in one sentence how does merge sort work?,"It splits the original array into two, sorts each of the two halves, and then merges the sorted arrays."
12.1,What is a pointer?,The address of a location in memory.
12.2,What is the experimental approach for measuring the running time of an algorithm?,Implement the algorithm and measure the physical running time.
12.3,Order the following functions by their running time: n to the power of 2; log -LRB- log n -RRB- ; 2 to the power of -LRB- log n -RRB- ; n!; n to the power of 3.,loglog n; 2 to the power oflog n; n to the power of 2; n to the power of 3; n!
12.4,"Briefly, how does selection sort work?","It selects the minimum from an array and places it on the first position, then it selects the minimum from the rest of the array and places it on the second position, and so forth."
12.5,What is the advantage of linked lists over arrays?,"Linked lists are dynamic structures, which allow for a variable number of elements to be stored."
12.6,What is a queue?,A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.
12.7,What are the main operations associated with a stack?,push and pop
12.8,What is the Euler tour traversal of a tree?,"A walk around the tree, starting with the root, where each node is seen three times: from the left, from below, from the right."
12.9,How do you delete a node from a binary search tree?,"Find the node, then replace it with the leftmost node from its right subtreeor the rightmost node from its left subtree."
12.10,How many steps does it take to search a node in a binary search tree?,The height of the tree.
