id,answer,score,correct
5.3,"Insertion sort is Onand performs n minus 1 operations in the best-case scenario, which is when the list or array is already sorted.",4.5,1.0
2.5,"Theoretically unlimited, as long as they are defined by the programmer.",5.0,1.0
10.3,an endpoint on a tree that contains no pointers or pointers that are set to null,4.5,1.0
8.3,"Make an array, make the bottom at spot 0, make the last spot in the array the top, and increment top when you ad",4.5,1.0
3.5,"By the number, and the types and order of the parameters.",5.0,1.0
11.5,A function that divides and conquers a problem. There is a base case that will eventually be reached. The function calls itself over and over until the base case is satisfied.,5.0,1.0
3.4,Passing by reference can eliminate the pass-by-value overhead of copying large amounts of data.,5.0,1.0
6.7,A function pointer is a pointer that contains the address of the function in memory.,5.0,1.0
12.1,"worst case scenario equals the number of levels of the tree, ie: the node at the farthest position from the root node. best case equals 1 step if its the root node.",5.0,1.0
3.2,Global Variables can be used in any function as long as the appropriate. h file that holds the variable is included,4.0,1.0
2.2,"data members are permanent attributes of the class, local variables inside a member function are lost when the scope of the member function ends.",4.0,1.0
9.1,a queue is a list of objects in a particular order that is read one at a time starting at the first followed by the second and so on.,4.0,1.0
5.4,there is one object in the split array to sort.,5.0,1.0
12.8,"You travel the outside edge of the tree, clockwise, while naming each node.",4.0,1.0
2.1,"class variables, function definitions for the class",5.0,1.0
12.7,push and pop,5.0,1.0
4.2,"Unlike in a string declared using type string, in a string declared using an array of characters the programmer must provide the null terminating character and must ensure the array is large enough to hold the string and null terminating character.",5.0,1.0
8.2,pop and push,5.0,1.0
11.6,"Iteration, performers a series of checks and loops.",5.0,1.0
12.1,A pointer is a variable that stores the address of another variable.,5.0,1.0
11.5,"a recursive function is a function that during execution, calls itself over and over until a base case is reached",5.0,1.0
1.5,A variable is a location in memory where a value can be stored.,5.0,1.0
10.2,The height of a tree is the number of levels between the root and the leaf farthest away from it.,5.0,1.0
11.2,Public and Private,5.0,1.0
11.1,the functions and variables used when the object is defined for the class.,4.0,1.0
8.5,list-based because it does not use a fixed size like an array would.,5.0,1.0
7.2,Linked list is able to grow in size as needed. Does not require the shifting of items during insertions and deletions,5.0,1.0
3.6,"not creating a base case, or in the case where the base case will never be met.",5.0,1.0
12.6,"A linked list with a First In, Out structure dequeue at the head of the list enqueue at the end of the list",5.0,1.0
2.4,In any class that does not explicitly include a constructor.,5.0,1.0
4.7,They are stored in memory in rows.,5.0,1.0
8.3,Create a int value that stores the head of the stack. Increment the top when one element is pushed and decrement after it is popped.,5.0,1.0
1.5,"Variable is a location in the computer 's memory, in which a value can be stored and later can retrieve that value.",5.0,1.0
12.5,"linked lists do not have to have a specified size, they are easier to add to and remove from",5.0,1.0
11.4,the name of the function and the arguments passed to that function,5.0,1.0
12.1,A pointer is an element that references a memory location.,5.0,1.0
6.6,"constant pointer to constant data, constant pointer to nonconstant data, nonconstant pointer to constant data, nonconstant pointer to nonconstant data",5.0,1.0
7.2,Linked lists do not have a set size and can grow or shrink as needed.,5.0,1.0
2.5,as many as you want,5.0,1.0
11.2,public and private,5.0,1.0
9.5,list based because you dont need to shift the elements like you do in array based queues,4.0,1.0
3.5,unique function signatures,5.0,1.0
7.4,They are passed by reference because you want the function to change the pointer,4.5,1.0
10.1,"A connected, undirected graph without cycles.",4.5,1.0
8.6,"When an operand is entered, the computer Pushes it onto a stack When an operator is entered, the computer Applies it to the top two operands of the stack Pops the operands from the stack Pushes the result of the operation onto the stack",4.0,1.0
9.5,List-based because it is not fixed size.,5.0,1.0
6.5,It returns the size of an array in bytes.,4.5,1.0
1.4,In the main function.,5.0,1.0
3.2,They have file scope when placed outside a function.,5.0,1.0
4.4,A static local array exists for the duration of the program and its elements are initialized to 0 if not explicitly initialized. So a static local array 's elements will still be the same when called later unless specifically initialized to something else. This does not happen for automatic arrays.,5.0,1.0
4.4,"a static array will only be initilized once, a non static array will be re-initilized once the program reaches the initilization line again.",5.0,1.0
3.4,It gives access and modify the caller 's argument data directly. It eliminate the pass by value overhead of copying large amounts ofdata,5.0,1.0
8.3,By implementing an array of a pre-defined size with the bottom stack element stored at element 0 and the last element stored in the array is the top. You increment top when an element is pushed and you decrement it when an item is popped.,5.0,1.0
10.1,A tree is a finite set of one or more nodes such that: there is a specially designated node called the root.,4.5,1.0
12.4,it runs through the list and finds the smallestor largestvalue and puts it at the appropriate position,4.5,1.0
11.6,One can use iteration or by using a simple while or for loop.,5.0,1.0
12.4,"it selects the smallest element in a list and switches it with the element in its correct position, then it selects the next smallest and does the same ...",4.5,1.0
9.4,"Implement the operation dequeue as the list operation remove1and the operation getFrontqueueFrontas the list operation retrieve1, queueFront",4.0,1.0
3.5,"They are differntiated by number, types and order of arguments in the function call.",5.0,1.0
4.1,"One way is to declare a size of the array using a variable that is equal to an integer. The other way, if the size is omitted in the declaration, the compiler determines the size of the array based on the size of the initializer list.",5.0,1.0
7.2,Elements can be inserted into a link list at any point and does not need to be resized unlike an array needs to be.,5.0,1.0
4.3,by refrence,5.0,1.0
4.3,By reference.,5.0,1.0
9.2,The two main functions of a queue are enqueue and dequeue.,5.0,1.0
11.6,Iteration by using loops,5.0,1.0
5.2,Selection sort is an algorithm that selects the larges item the array and puts it in its place; then select the next largest until the array is sorted,4.5,1.0
4.1,"In the declarationint array [x]or with an initilizerint array [] equals 0,1,2, etc.",5.0,1.0
8.3,Use an index value called top to keep track of the last element in the array.,4.5,1.0
2.6,"Function prototypes tell the compiler the function names, its return type, and the types of its parameters where as, function definitions actually implement the member functions.",5.0,1.0
6.4,Element b [n] can be accessed by multiplied bybPtr plus nis an example of how an array can be addressed as pointer or offset notation.,4.5,1.0
2.3,"A constructor typically used to intialize data members and allocate resources, for instance memory, files, etc. Also a constructor cannot return values. Functions are operations that maybe globally defined.",4.5,1.0
2.6,Function prototype is located in the. h file and only contains the access function name and paramater type. Function definition contains the code for the function to perform its activity.,4.5,1.0
5.4,The sequence of numbers has zero or one elements.,5.0,1.0
8.6,They are converted to post fix expressions. It still follow the order of precedence for the operators.,5.0,1.0
10.7,In a binary search tree of size n it takes logncomparisons to find a specified element.,5.0,1.0
12.8,"The Euler traveral is when you go through a tree looking for nodes to put in the order of left, root, right. Like inOrder traversal.",4.0,1.0
2.5,As many as needed.,5.0,1.0
6.6,Nonconstant pointer to nonconstant data Nonconstant pointer to constant data Constant pointer to nonconstant data Constant pointer to constant data,5.0,1.0
5.2,"you loop through the entire list, and for each iteration you find the smallest element and move it to the current position.",5.0,1.0
3.6,function is never allowed to reach the base case,5.0,1.0
1.4,"After loading the required include statements and libraries, the main method begins the execution.",5.0,1.0
10.5,"A binary search tree is a special binary tree arranged such that every left child node contains a value less than its parent, and every right child node contains a value greater its parent.",5.0,1.0
6.5,it returns the size in bytes of a certain variable type,4.5,1.0
11.3,"When the object is initialized, its constructor is calledwhether one is provided or c plus plus assigns a default constructor.",5.0,1.0
11.4,"is the name of the fuction, return type, and parameters that are being used",5.0,1.0
3.3,it generates a copy of the function 's coding which eliminates calling the function,5.0,1.0
10.2,the height of a tree is the length from the root to the furthest leaf,5.0,1.0
12.9,"to delete the node, you would have to link the children nodes that are connected to the node to be deleted to the remaining nodes of the tree in such a way that nodes on the right of the parent node are larger than the parent and nodes on the left of the parent node are smaller",4.0,1.0
6.2,the address of the variable it is attached to,4.0,1.0
1.6,"They can be declared globally just before the main methodbut also outside of it... or variables can be subject to only the method they are scoped within, but would still be declared at the beginning of that methodbut inside of it.",5.0,1.0
10.3,a leaf is a node with no children,5.0,1.0
11.1,"Break a single array down into many arrays with individual elements, then sort the elements as you reconstruct them back into a single array.",5.0,1.0
1.4,At the MAIN function,5.0,1.0
9.6,push,5.0,1.0
2.5,as many as the user decides to use.,5.0,1.0
12.1,The number of levels and the height of the tree,5.0,1.0
11.1,"Merge sort recursively divides an array into two arrays until all arrays have 1 element, at which point it merges the 1 element arrays into larger sorted arrays, the final returned array being the sorted version of the initial array.",5.0,1.0
7.2,more memory can be allocated on the fly for more items,4.5,1.0
8.4,"A singly linked list can already be easily used for LIFO data storage. Members of a stack can simply be pushed and popped from a list, the first item in will be the last out.",4.5,1.0
10.7,"at the minimum lognor log2, at the maximum N searches, where N is the number of nodes.",4.5,1.0
2.2,Variable declared in a function defination 's body cannot be used outside of that function. Data members accessible only to member function of that class.,5.0,1.0
7.2,linked lists are abe to grow as needed to a new size,5.0,1.0
12.8,"Traversing a tree down to it is terminal child and then all of it is siblings, then it traverses up the terminal child 's parent and all of it is siblingsrepeating the first step if those siblings have childrenuntil the root node has been visited.",4.0,1.0
3.3,"When the compiler inline-expands a function call, the function 's code gets inserted into the caller 's code streamconceptually similar to what happens with a define macro. This can, depending on a zillion other things, improve performance, because the optimizer can procedurally integrate the called code optimize the called code into the caller.",4.5,1.0
9.3,"create a fixed array size, with with 2 integers to point to the beginning and the end of the que, and special cases to know when the que is empty or full.",4.0,1.0
3.3,"tells the compiler to make a copy of function 's code in place to avoid a function call. it typically ignores it, except for the smallest functions.",5.0,1.0
8.4,This is the implementation of the stack using single linked list. The operations performed on a stack are 1push : This is the function which is for insertionpushingof an element into stack It is similar to the insertion of an element at the end of a single linked list see the function insert end in the program for operations of single linked list 2pop : This is the function which is for deletionpopping upof an element from the stack It is similar to the deletion of an element at the end of a single linked list see the function delete end in the program for operations of single linked list 3stack display : This is the function which is for displaying the elements of a stack,4.0,1.0
10.1,"A data structure that contains a root, internal nodes and external nodes. Each node references another node by means of pointerspass-by-reference. The root is the base of the tree, it has no parents. A leaf is a node at the end of the tree which points to NULL.",5.0,1.0
12.9,"You search the tree for the node using recursion. When you find the node, you determine whether it is a leaf or a internal node. If it is a leaf, you just delete it and set the parent pointer to that node to NULL. If it is a node, you replace the node with either of the children nodes.",4.0,1.0
4.5,all but the first,5.0,1.0
9.2,enqueue and dequeue,5.0,1.0
7.1,A linked list is a data structure containing one or more data elements with a pointer to the next node.,4.5,1.0
2.1,"It begins with Class, followed by the class name, then usually a constructor, data members and member functions that delineates the class is included in any class 's definition.",5.0,1.0
11.9,The divide and conquer paradigm divides a problem into smaller and smaller portions that are easier to solve.,4.5,1.0
1.7,A do ... while statement 's body always executes at least once. Where as a while statement will not execute at all unless the condition for the while is true.,5.0,1.0
8.3,"You allocate an pre-defined array, the bottom element is stored at element 0, and the last index is the head.",4.0,1.0
8.2,Push and Pop,5.0,1.0
11.4,A function signature is the function 's parameters and their type and the name of the function. The return type is not a part of the function signature.,5.0,1.0
4.6,run time error,5.0,1.0
7.3,"Array size is fixed. But Linked is not fixed, data is also accessed quicker in array list, also memory requirement is less and no pointers required. Arrays have random access and less overheads compared to Linked list have sequential access only with too much overheads and no cache memory support. On the other hand, arrays allow random access, while linked lists allow only sequential access to elements. Singly-linked lists, in fact, can only be traversed in one direction.",5.0,1.0
6.3,It is unary operator that returns the value of the variable located at the address,4.0,1.0
7.7,"in a doubly linked list there are twice as many pointers for each element, therefore more memory is used",5.0,1.0
8.5,A list-based implementation is preferred because the list is more flexible than a array.,5.0,1.0
9.2,Enqueue and Dequeue,5.0,1.0
2.1,data members and member functions,5.0,1.0
8.6,computers usually convert infix expressions to post fix expression and evaluate them using a stack.,5.0,1.0
11.5,"A recursive function typically simplifies a problem by calling itself, until arriving at a base case, at which it recursively returns a solution.",5.0,1.0
2.6,"in a function prototype you include the return type, the name of the function, and its parameters if any are needed. in a function definition you write the code of what the function will do.",5.0,1.0
9.2,Enqueue and Dequeue,5.0,1.0
11.1,public and private variables and initiations of functions included in the class.,4.0,1.0
8.2,Push and pop.,5.0,1.0
7.2,"The size is not fixed, easier sorting because of no shifting, easier to insert items into the list",5.0,1.0
4.6,run-time error,5.0,1.0
4.1,Explicitly int array [10]; or by variable const int size equals 10; int array [size];,4.0,1.0
6.2,Returns the address location in memory of the item.,4.5,1.0
12.1,a form of storing data that keeps the location in memory of an data type or object.,5.0,1.0
12.4,"A selection sort scrolls through the data structure looking for the lowestor highestunsorted piece of data, moves it to the held spot, increments that spot by one, and starts the process over.",5.0,1.0
12.6,A queue is an abstract data type that is based off of the priniple of first in first out. FIFO. The first item inserted into the list will the first item taken out.,5.0,1.0
8.2,push and pop,5.0,1.0
2.2,"local variables can only be used within the function, where as data members can be set to public access and can be used throughout",5.0,1.0
11.4,"The parameters needed, the return type, and name of the function.",5.0,1.0
9.7,queue,5.0,1.0
3.7,Both iteration and recursion are based on control statements and involve repetition. They can both also occur indefinitely.,5.0,1.0
3.4,Overall the program has better performancemeans it is fasterbecause it does not have to copy large amounts of data.,5.0,1.0
3.3,"Inline functions are copied in place, instead of being referenced.",5.0,1.0
11.1,"merge sort breaks the array down in halves until it is comparing two values, sorts those two values, then merges that back with the other broken down parts that it sorted, each level merging more sets together till you return back to your whole array in order.",5.0,1.0
3.1,"The name of the function and the types of its arguments. This includes the number, type, and order the parameters appear in.",5.0,1.0
3.1,the name of the function and its parameters,5.0,1.0
6.4,you get the memory location of the first element and the you add an offset to it to get other elements.,5.0,1.0
2.4,whenevery you dont specifiy your own,5.0,1.0
2.2,"a local variable is only useable within the function it is defined, whereas a data member is available to any method within its class",5.0,1.0
3.1,The function signature includes the name of the function and the types of its arguments.,5.0,1.0
4.6,it is a run-time error,5.0,1.0
3.5,"Compiler selects proper function to execute based on number, types and order of arguments in the function call.",5.0,1.0
7.1,A linked list is a list in which each item in the list points to the next item in the list.,4.5,1.0
9.5,"List-based. Less code, and no size limitation or declaration ... which means it is also more efficient and versatile.",5.0,1.0
2.4,C plus plus creates a default constructor during compilation if one is not provided.,5.0,1.0
4.1,"In a string you can specify with the strlenarraynamecommand. This gets the length of the string. Another way is with integers where you initiate the size from the start, ex array [40] specifying a possible length of up to 40. Then it is passed by an object the actual ammout in the array. Another way is to declare it in an initializing program.",4.5,1.0
11.6,iterative functions,5.0,1.0
11.4,its return type and its input parameters,5.0,1.0
6.2,ADDRESS returns the memory address of its operand.,5.0,1.0
11.1,"It takes an array, splits itself in half, sorts the two halveseither by recursion or iterationand compares them together giving a third array a full sorted list with both halves rejoined.",5.0,1.0
7.7,Need more memory to store previous pointers.,5.0,1.0
9.5,linked list based. because it does not store the items linearly in memory but instead as individual blocks.,5.0,1.0
12.3,loglogn 2 to the power of lognn to the power of 2 n to the power of 3 n!,5.0,1.0
10.6,"The in order is to go from left, root, right",5.0,1.0
9.6,"that would be the push operation, if it put the item at the end of the list.",5.0,1.0
9.6,"Push corresponds with enqueue, both very similarly place new elements into their stack or queue",5.0,1.0
4.5,"Two paramaters, the array and how many columns. arraya [], [3]",4.0,1.0
12.7,pop and push,5.0,1.0
10.2,The height of a tree is the number of nodes on the longest path from the root to a leaf.,5.0,1.0
3.1,the name of the function and the types of its arguments,5.0,1.0
11.2,"Public, Private, Restricted",5.0,1.0
9.2,Enqueue and Dequeue,5.0,1.0
2.1,The attributes of said class. Also whether or not it is a subclass. Also whether it is public private or protected.,4.0,1.0
2.6,"A function prototype only names the function, its return type, and it is argument list, while a definition defines the above as well as what the function actually does.",5.0,1.0
7.4,You have to pass the head pointer to a function since it has access to the entire list.,4.0,1.0
8.3,"Create an array, size N. N plus plus when one element is pushed. N --when one element is popped.",4.0,1.0
12.4,You select the smallest element and place it on the left. You select the smallest element and sort it with respect the the item already on the left. You continue this till the end of the collection of items.,5.0,1.0
2.7,the role of a header file list all the functions a class can do while hiding the inner workings of its functions,4.5,1.0
9.3,"make an array of a size, and add on to the front and delete from the back, keep track of the two so that you know when it is full and where to add or subtract from",4.0,1.0
9.4,"Use a linked list with 2 pointers, one to the front and one to the back. As long as back! equals front, the queue is not empty.",4.5,1.0
12.5,"They grow dynamically, unlike the fixed size array",5.0,1.0
10.1,"a finite collection of nodes, where it starts with an element called the root, which has children, and its children have children until you get to the leaves which are the last elements and have to children",4.5,1.0
11.4,"Name of the function, parameters it must receive in order to perform and a return type.",5.0,1.0
9.7,queue because it guarantees that job are executed in the order they come in.,5.0,1.0
1.4,main function,5.0,1.0
12.2,running the input with various inputs measuring the running time with system time,4.5,1.0
8.1,Stores a set of elements in a particular order based on the principle of Last In First OutLIFO.,5.0,1.0
12.1,Pointer is a variable which have a memory address of a variable.,5.0,1.0
9.1,a queue is a data structure that stores elements in a First in First out order.,5.0,1.0
11.5,"A function that calls itself. Each time it does, it must get smaller, and eventually MUST converge to a base case, otherwise you can start an infinite loop.",5.0,1.0
4.2,"All strings represented by character arrays end with the null character. You declare an object of type string just like any other type, for example: string s;",5.0,1.0
6.1,A variable that contains the memory address of another variable that contains a specific value.,5.0,1.0
10.5,a special binary tree that has a rule that all the subtrees on the right are smaller than the node value and all the subtrees on the left are larger than the node value,4.0,1.0
10.3,a node with no children.,5.0,1.0
4.5,Size of subsequent dimensions are required. Compiler must know how many elements to skip to move to the second element in the first dimension,4.5,1.0
10.6,"it means that you traverse one subtree of a node, then look at the node itself before traversing the other subtree of the node",4.0,1.0
11.6,you can also solve the problem iteratively,5.0,1.0
5.1,Insertion sort progresses through a list of elements and determines where the next element should be inserted into an already sorted array starting with sorting and using the first two elements.,4.5,1.0
4.5,All subsequent dimensions after the first one.,5.0,1.0
1.5,location in memory where a value can be stored,5.0,1.0
11.5,a function that calls on itself and uses a base case to stop the recursion,5.0,1.0
10.2,The number of nodes on the longest path from the root to the leaf.,5.0,1.0
11.5,A function that calls upon it self to solve a problem. Each time it calls upon it self it splits up a problem into a simplier form until it reaches a base case which is the most simplest form of the problem.,5.0,1.0
9.6,"push, which inserts something at the top of the stack.",5.0,1.0
8.7,"Using linked lists and stacks, you would need a temp stack to retain the values. Then you would use the Pop function to pop off each element and then compare it. If its not the element your looking for, Push it to the temp stack. Repeat until the element is found. When you find it, Pop off the temp stack back onto the regular stack to have a complete stack again.",5.0,1.0
9.4,by making the head of the list the beginning of the queue and the last listed item the insertion point of the queue,4.5,1.0
6.4,a [i] equals multiplied bya plus i,4.0,1.0
2.2,Data member are variables that represent an attribute in a class definition. Local variables declared in a function body cannot be used outside of that function body. When a function terminates the values of its local variables are lost.,4.5,1.0
11.2,"Private, Public, Protected, or Friend.",5.0,1.0
7.1,Each component contains a Node a data item and a pointer to the next item in the list,4.5,1.0
7.3,"direct access to elements, and speed, linked lists have increased search times to access elements even if the list is sorted.like getting the last element without a pointer directly to the end of the list.",4.5,1.0
4.4,"Static arrays are created and initialized only once, and the values are not destroyed when the function terminates in the program. Automatic arrays reset everytime the function is called.",5.0,1.0
3.2,A global variable is an identifier that retains it is value throughout the execution of the program. It has file scope.,5.0,1.0
3.6,"Either omitting the base case, or writing the recursion step incorrectly so that it does not converge on the base case",5.0,1.0
7.3,Array items are accessed directly with equal access time,5.0,1.0
5.2,Search for the largest item in an array and swap it with the last unsorted item.,4.5,1.0
7.7,they take up twice as much memory for each node,5.0,1.0
12.7,"Pop, which removes the head, or least recently inserted node from the stack. Push, which inserts a new node at the head of the stack.",5.0,1.0
6.6,"Four different ways: Nonconstant pointer to nonconstant data, a nonconstant pointer to constant data, a constant pointer to nonconstant data and a constant pointer to constant data.",5.0,1.0
11.4,A function signature specifies the name and input variables of a function.,5.0,1.0
7.5,in a circular linked list the the last item points to the first item.,5.0,1.0
5.4,"When there is only one element in the array, or when the starting element in the array is the same as the ending element.",4.5,1.0
7.2,its resizeable,5.0,1.0
6.1,"It is like a variable however instead of holding data, it holds a location in memory.",4.5,1.0
12.7,"push, which adds an item to the top of the stack, and pop, which takes the first item off the top to the stack",5.0,1.0
1.6,Variables are declared before they are actually used. They can be declared before main to use globally,4.0,1.0
